Element, Nterminals, Nconductors, P_1, Q_1, ...
"Vsource.source", 2, 1,   -1214.61,   -431.449,          0,          0
"Line.l115", 2, 1,    1214.61,     431.41,   -1208.48,   -418.854
"Line.l1", 2, 1,    6.66724,    3.33284,   -6.66684,   -3.33337
"Line.l2", 2, 1,    34.5532,    17.2854,    -34.538,   -17.2713
"Line.l3", 2, 1,    1153.93,    391.569,   -1149.75,   -383.022
"Line.l4", 2, 1,    13.3351,    6.66762,   -13.3333,   -6.66684
"Line.l5", 2, 1,    21.2029,    10.6037,   -21.1955,   -10.5979
"Line.l6", 2, 1,    14.2922,    7.14631,   -14.2896,     -7.145
"Line.l7", 2, 1,    1143.09,    379.688,   -1140.34,   -374.059
"Line.l8", 2, 1,    6.66753,     3.3328,   -6.66701,   -3.33345
"Line.l9", 2, 1,    34.0101,    17.0129,   -33.9966,   -17.0004
"Line.l10", 2, 1,    1099.66,    353.713,   -1095.84,   -345.891
"Line.l11", 2, 1,     20.663,    10.3334,   -20.6534,   -10.3259
"Line.l12", 2, 1,    33.9252,    16.9658,   -33.9162,   -16.9575
"Line.l13", 2, 1,    377.522,    223.687,    -375.99,   -220.555
"Line.l14", 2, 1,    13.8563,    6.92835,   -13.8537,   -6.92708
"Line.l15", 2, 1,    6.79717,    3.39756,   -6.79656,   -3.39823
"Line.l16", 2, 1,    13.3374,    6.66873,   -13.3339,   -6.66711
"Line.l17", 2, 1,    6.66794,    3.33253,   -6.66712,    -3.3335
"Line.l18", 2, 1,    26.8695,    13.4388,   -26.8599,   -13.4303
"Line.l19", 2, 1,    94.5109,    47.3589,   -94.4781,   -47.2938
"Line.l20", 2, 1,    13.5259,    6.76311,   -13.5227,   -6.76155
"Line.l21", 2, 1,    13.7107,     6.8556,   -13.7055,   -6.85295
"Line.l22", 2, 1,    80.7674,    40.4382,   -80.7474,    -40.399
"Line.l23", 2, 1,    13.3393,    6.66973,   -13.3341,   -6.66725
"Line.l24", 2, 1,    67.4081,    33.7293,   -67.3928,   -33.6998
"Line.l25", 2, 1,    26.8508,    13.4235,   -26.8477,   -13.4206
"Line.l26", 2, 1,    40.5421,    20.2762,    -40.538,   -20.2693
"Line.l27", 2, 1,    13.5103,    6.75322,   -13.5097,   -6.75501
"Line.l28", 2, 1,    13.3374,    6.66737,   -13.3352,   -6.66635
"Line.l29", 2, 1,    13.5097,    6.75501,   -13.5048,   -6.75262
"Line.l30", 2, 1,    27.0258,     13.513,   -27.0232,   -13.5095
"Line.l31", 2, 1,    13.3349,    6.66516,   -13.3341,   -6.66592
"Line.l32", 2, 1, 1.09602E-011, -0.00132522, -1.86818E-011, -3.4871E-011
"Line.l33", 2, 1,    6.66798,    3.33278,   -6.66727,   -3.33358
"Line.l34", 2, 1,    20.0074,    10.0029,   -20.0053,   -10.0013
"Line.l35", 2, 1,    27.0852,    13.5441,   -27.0793,   -13.5385
