
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus      66.4          1          0          0         0         0
rg60          2.552      1.063          0          0         0         0
632           2.535      1.055          0          0         0         0
670           2.535      1.055          0          0         0         0
671           2.534      1.055          0          0         0         0
680           2.534      1.055          0          0         0         0
633           2.533      1.054          0          0         0         0
645           2.526      1.052          0          0         0         0
646           2.524      1.051          0          0         0         0
692           2.534      1.055          0          0         0         0
675           2.534      1.055          0          0         0         0
684           2.531      1.054          0          0         0         0
611            2.53      1.053          0          0         0         0
652           2.527      1.052          0          0         0         0
634          0.2901      1.047          0          0         0         0
650           2.402          1          0          0         0         0
