
SYMMETRICAL COMPONENT PHASE-PHASE VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus      66.4     0.5774          0          0         0         0
rg60          2.552     0.6135          0          0         0         0
632           2.556     0.6144          0          0         0         0
670           2.562     0.6158          0          0         0         0
671           2.574     0.6187          0          0         0         0
680           2.574     0.6187          0          0         0         0
633           2.562     0.6159          0          0         0         0
645           2.547     0.6123          0          0         0         0
646           2.544     0.6116          0          0         0         0
692           2.574     0.6187          0          0         0         0
675           2.577     0.6194          0          0         0         0
684           2.583     0.6209          0          0         0         0
611           2.582     0.6206          0          0         0         0
652           2.579     0.6198          0          0         0         0
634            2.56     0.6153          0          0         0         0
650           2.402     0.5774          0          0         0         0
